name,year,importance,community,court
"R. v. Feeney",1997,0.0390526537541874,638,scc
"Agraira v. Canada (Public Safety and Emergency Preparedness)",2013,0.0389700279621342,1144,scc
"RWDSU v. Dolphin Delivery Ltd.",1986,0.0386430926998114,226,scc
"R. v. Bartle",1994,0.0383615689189435,638,scc
"B. (R.) v. Children's Aid Society of Metropolitan Toronto",1995,0.0381025695176157,226,scc
"R. v. Stinchcombe",1991,0.0380412731925299,816,scc
"R. v. Nova Scotia Pharmaceutical Society",1992,0.03779851861323,226,scc
"Chaoulli v. Quebec (Attorney General)",2005,0.0372665909243811,226,scc
"Ontario (Attorney General) v. G",2020,0.0368453786444834,226,scc
"Law Society of British Columbia v. Trinity Western University",2018,0.0368302486771168,226,scc
"R. v. Kokesch",1990,0.0368099378626938,638,scc
"Little Sisters Book and Art Emporium v. Canada (Minister of Justice)",2000,0.0366512218369541,226,scc
"R. v. Proulx",2000,0.0360937359628798,666,scc
"R. v. Pereira",2008,0.0360286242228436,226,bcsc
"Miron v. Trudel",1995,0.0355801510414363,226,scc
"Ref re Remuneration of Judges of the Prov. Court of P.E.I.; Ref re Independence and Impartiality of Judges of the Prov. Court of P.E.I.",1997,0.0355416023128151,226,scc
"R. v. Plant",1993,0.0355297276095717,638,scc
"Nova Scotia (Workers' Compensation Board) v. Martin; Nova Scotia (Workers' Compensation Board) v. Laseur",2003,0.0353813948133883,226,scc
"R. v. Biniaris",2000,0.0352390515568048,411,scc
"R. v. Dyment",1988,0.0350551529788054,638,scc
"R. v. Heywood",1994,0.0346645002753548,226,scc
"R. v. Caslake",1998,0.0345967901370773,638,scc
"R. v. Shropshire",1995,0.0345755948697006,666,scc
"R. v. Duarte",1990,0.0344954151225164,638,scc
"Canada (Attorney General) v. Bedford",2013,0.0341161291145782,226,scc
"Mouvement laïque québécois v. Saguenay (City)",2015,0.0340364779330471,1144,scc
"R. v. Turpin",1989,0.0338854498004043,226,scc
"R. v. Storrey",1990,0.0337633815604703,638,scc
"M. v. H.",1999,0.0334570065685428,226,scc
"R. v. S. (R.J.)",1995,0.0334142724952108,638,scc
"Operation Dismantle v. The Queen",1985,0.0333771868148178,99,scc
"C.U.P.E. v. N.B. Liquor Corporation",1979,0.033302413632578,1144,scc
"Bedford v. Canada",2010,0.0331581401623093,226,onsc
"Canada (Canadian Human Rights Commission) v. Canada (Attorney General)",2011,0.0329844599697196,1144,scc
"Corbiere v. Canada (Minister of Indian and Northern Affairs)",1999,0.0324255079830702,226,scc
"Charkaoui v. Canada (Citizenship and Immigration)",2007,0.0320009957101893,226,scc
"Alberta v. Hutterian Brethren of Wilson Colony",2009,0.0318634600483941,226,scc
"H.L. v. Canada (Attorney General)",2005,0.0318328916560606,99,scc
"R. v. Sheppard",2002,0.0317059737910166,411,scc
"R. v. Wholesale Travel Group Inc.",1991,0.0316782792259367,226,scc
"R. v. Gladue",1999,0.0313736375457214,666,scc
"Doré v. Barreau du Québec",2012,0.0313015235377597,226,scc
"Ford v. Quebec (Attorney General)",1988,0.0312238150204607,226,scc
"R. v. Yebes",1987,0.0311917890865908,411,scc
"McLean v. British Columbia (Securities Commission)",2013,0.0311322771989145,1144,scc
"R. v. Tessling",2004,0.0311198310797332,638,scc
"Law society of Upper Canada v. Skapinker",1984,0.0310621485578241,226,scc
"R. v. Ferguson",2008,0.0307815579960558,666,scc
"Canadian Doctors for Refugee Care v. Canada (Attorney general)",2014,0.0307612677647223,226,fct
"Committee for the Commonwealth of Canada v. Canada",1991,0.0304455711312282,226,scc
"R. c. Bissonnette",2019,0.0303630835926496,666,qccs
"U.E.S., Local 298 v. Bibeault",1988,0.030159268855226,1144,scc
"R. v. Morelli",2010,0.030152506514841,638,scc
"R. v. Nasogaluak",2010,0.0300121375804359,666,scc
"R. v. Advance Cutting & Coring Ltd.",2001,0.0300105322038314,226,scc
"R. v. Kang-Brown",2008,0.0297943569071265,638,scc
"R. v. Jones",1986,0.029753545314046,226,scc
"R. v. Belnavis",1997,0.0297185573955256,638,scc
"R. v. Silveira",1995,0.0297056315983012,638,scc
"Doucet-Boudreau v. Nova Scotia (Minister of Education)",2003,0.0296431511176165,226,scc
"Lavigne v. Ontario Public Service Employees Union",1991,0.0296032104904961,226,scc
"Sauvé v. Canada (Chief Electoral Officer)",2002,0.0292970687937321,226,scc
"HMTQ v. Wilder",2003,0.0292723053247812,638,bcsc
"R. v. Regan",2002,0.0292547326391074,816,scc
"Ross v. New Brunswick School District No. 15",1996,0.0291623116381779,226,scc
"R. v. Burlingham",1995,0.0290793896212769,638,scc
"Committee for Justice and Liberty et al. v. National Energy Board et al.",1976,0.0290721036458879,1144,scc
"Dunmore  v.  Ontario (Attorney General)",2001,0.0289927349159439,226,scc
"R. v. Strachan",1988,0.0289891053235995,638,scc
"R. v. Mellenthin",1992,0.0288030229578759,638,scc
"Cambie Surgeries Corporation v British Columbia (Attorney General)",2020,0.0285468675767749,226,bcsc
"R. v. Harrison",2009,0.0284896798043725,638,scc
"R. v. Simmons",1988,0.0283839585275502,638,scc
"Smith v. Alliance Pipeline Ltd.",2011,0.0283515056583362,1144,scc
"R. v. Greffe",1990,0.0283079505186082,638,scc
"Godbout v. Longueuil (City)",1997,0.0281994560481804,226,scc
"Palmer v. The Queen",1979,0.0281562212799923,411,scc
"Sahaluk v Alberta (Transportation Safety Board)",2015,0.0279537080898353,226,abqb
"Pezim v. British Columbia (Superintendent of Brokers)",1994,0.0279185439685284,1144,scc
"Young v. Young",1993,0.027788643119408,536,scc
"R. v. Zundel",1992,0.0277494746213922,226,scc
"Reference re Secession of Quebec",1998,0.0274942079873271,226,scc
"Carter v. Canada (Attorney General)",2015,0.0273714487255467,226,scc
"Ont. Human Rights Comm. v. Simpsons-Sears",1985,0.0273132425849334,226,scc
"R. v. Rodgers",2006,0.0272923760433796,226,scc
"Thomson Newspapers Co. v. Canada (Attorney General)",1998,0.0269864478594802,226,scc
"Multani v. Commission scolaire Marguerite-Bourgeoys",2006,0.0268719684686513,226,scc
"Quebec (Attorney General) v. A",2013,0.0267773502320751,226,scc
"Osborne v. Canada (Treasury Board)",1991,0.0267376668538407,226,scc
"Trinity Western University v. British Columbia College of Teachers",2001,0.0266977285796358,226,scc
"Carter v. Canada (Attorney General)",2013,0.0266972054481789,226,bcca
"R. v. Harrer",1995,0.0265172092305839,638,scc
"R. v. Nur",2015,0.0263335897890815,666,scc
"Moreau-Bérubé v. New Brunswick (Judicial Council)",2002,0.0261387509715528,1144,scc
"R. v. Simpson",1993,0.025996301939954,638,onca
"Hill v. Church of Scientology of Toronto",1995,0.0259383173956903,98,scc
"Carter v. Canada (Attorney General)",2012,0.0259015506104698,226,bcsc
"United States of America v. Cotroni; United States of America v. El Zein",1989,0.0257970712049433,760,scc
"Baron v. Canada",1993,0.0257386266431834,638,scc
"Cloutier v. Langlois",1990,0.025624195856171,638,scc
"Conseil-scolaire francophone de la Colombie-Britannique v. British Columbia (Education)",2016,0.0255250833719853,226,bcsc
"Schmidt v. Canada (Attorney General)",2018,0.0255022717387836,226,fca
"R. v. Orbanski; R. v. Elias",2005,0.0254095361379545,638,scc
"Knight v. Indian Head School Division No. 19",1990,0.0253672355418475,1144,scc
"R. v. Butler",1992,0.0251267767696339,226,scc
"Health Services and Support - Facilities Subsector Bargaining Assn. v. British Columbia",2007,0.0251079368322496,226,scc
"Borowski v. Canada (Attorney General)",1989,0.025020700210117,1144,scc
"Greater Vancouver Transportation Authority v. Canadian Federation of Students — British Columbia Component",2009,0.0250199105906055,226,scc
"R. v. Evans",1996,0.0249304352644337,638,scc
"Victoria (City) v. Adams",2008,0.0248536467645053,226,bcsc
"R. v. R.E.M.",2008,0.0246331309165235,411,scc
"Sketchley v. Canada (Attorney General)",2005,0.0246139511160476,1144,fca
"Reference re: Section 293 of the Criminal Code of Canada",2011,0.0245962946360311,226,bcsc
"Haig v. Canada; Haig v. Canada (Chief Electoral Officer)",1993,0.0243990117574483,226,scc
"Hunt v. Carey Canada Inc.",1990,0.0243662799668383,99,scc
"R. v. Law",2002,0.0243562294940195,638,scc
"Edmonton (City) v. Edmonton East (Capilano) Shopping Centres Ltd.",2016,0.0242973411359596,1144,scc
"R. v. S. (R.D.)",1997,0.0239627856590578,1144,scc
"Application under s. 83.28 of the Criminal Code (Re)",2004,0.0239246610793119,226,scc
"R. v. Conway",1989,0.0238719009182874,816,scc
"R. v. Bernshaw",1995,0.0238036955447796,638,scc
"R. v. Kapp",2008,0.0237649296295505,226,scc
"Mission Institution v. Khela",2014,0.0237423956898802,1144,scc
"Roncarelli v. Duplessis",1959,0.0237172626566676,1144,scc
"United States v. Burns",2001,0.0237094462160872,760,scc
"Inglis v. British Columbia (Minister of Public Safety)",2013,0.0234911309866474,226,bcsc
"Reddock v. Canada (Attorney General)",2019,0.0233870559804553,99,onsc
"R. v. B. (K.G.)",1993,0.0233655518656591,411,scc
"R. v. Nguyen",2008,0.0233431686470402,638,abqb
"Delisle v. Canada (Deputy Attorney General)",1999,0.0231830641593257,226,scc
"R. v. Mohan",1994,0.0230543417456856,411,scc
