name,year,importance,community,court
"R. v. Feeney",1997,0.0390526537541874,638,scc
"Agraira v. Canada (Public Safety and Emergency Preparedness)",2013,0.0389700279621342,1144,scc
"RWDSU v. Dolphin Delivery Ltd.",1986,0.0386430926998114,226,scc
"R. v. Bartle",1994,0.0383615689189435,638,scc
"B. (R.) v. Children's Aid Society of Metropolitan Toronto",1995,0.0381025695176157,226,scc
"R. v. Stinchcombe",1991,0.0380412731925299,816,scc
"R. v. Nova Scotia Pharmaceutical Society",1992,0.03779851861323,226,scc
"Chaoulli v. Quebec (Attorney General)",2005,0.0372665909243811,226,scc
"Ontario (Attorney General) v. G",2020,0.0368453786444834,226,scc
"Law Society of British Columbia v. Trinity Western University",2018,0.0368302486771168,226,scc
"R. v. Kokesch",1990,0.0368099378626938,638,scc
"Little Sisters Book and Art Emporium v. Canada (Minister of Justice)",2000,0.0366512218369541,226,scc
"R. v. Proulx",2000,0.0360937359628798,666,scc
"R. v. Pereira",2008,0.0360286242228436,226,bcsc
"Miron v. Trudel",1995,0.0355801510414363,226,scc
"Ref re Remuneration of Judges of the Prov. Court of P.E.I.; Ref re Independence and Impartiality of Judges of the Prov. Court of P.E.I.",1997,0.0355416023128151,226,scc
"R. v. Plant",1993,0.0355297276095717,638,scc
"Nova Scotia (Workers' Compensation Board) v. Martin; Nova Scotia (Workers' Compensation Board) v. Laseur",2003,0.0353813948133883,226,scc
"R. v. Biniaris",2000,0.0352390515568048,411,scc
"R. v. Dyment",1988,0.0350551529788054,638,scc
"R. v. Heywood",1994,0.0346645002753548,226,scc
"R. v. Caslake",1998,0.0345967901370773,638,scc
"R. v. Shropshire",1995,0.0345755948697006,666,scc
"R. v. Duarte",1990,0.0344954151225164,638,scc
"Canada (Attorney General) v. Bedford",2013,0.0341161291145782,226,scc
"Mouvement laïque québécois v. Saguenay (City)",2015,0.0340364779330471,1144,scc
"R. v. Turpin",1989,0.0338854498004043,226,scc
"R. v. Storrey",1990,0.0337633815604703,638,scc
"M. v. H.",1999,0.0334570065685428,226,scc
"R. v. S. (R.J.)",1995,0.0334142724952108,638,scc
"Operation Dismantle v. The Queen",1985,0.0333771868148178,99,scc
